EXP4Stochastic
imitation_toad_brigade,imitation_dr,imitation_rl
imitation_rl,0.15250000000000002,0.012200000000000003
imitation_rl,0.0,0.0
imitation_rl,0.0,0.0
imitation_rl,0.0,0.0
imitation_rl,0.10000000000000002,0.007898894154818327
imitation_rl,0.05000000000000001,0.003930817610062894
imitation_rl,0.0,0.0
imitation_rl,0.0,0.0
imitation_rl,0.0,0.0
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.00019500780031201251
imitation_rl,0.1,0.0078003120124805
imitation_rl,0.15000000000000002,0.011645962732919258
imitation_rl,0.05,0.003834355828220859
imitation_rl,0.0,0.0
imitation_rl,0.10250000000000001,0.007800608828006089
imitation_rl,0.05,0.003787878787878788
imitation_rl,0.1,0.007518796992481203
imitation_rl,0.15000000000000002,0.011227544910179642
imitation_rl,0.05,0.003698224852071006
imitation_rl,0.0025,0.00018355359765051397
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.00018355359765051397
imitation_rl,0.0025,0.00018355359765051397
imitation_rl,0.1,0.007342143906020559
imitation_rl,0.052500000000000005,0.0038377192982456147
imitation_rl,0.0025,0.000181422351233672
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.000181422351233672
imitation_rl,0.10250000000000001,0.007438316400580552
imitation_rl,0.052500000000000005,0.0037933526011560696
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.0,0.0
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.0,0.0
imitation_rl,0.0025,0.0001793400286944046
imitation_rl,0.1,0.0071736011477761845
imitation_rl,0.0025,0.00017857142857142857
imitation_rl,0.1,0.0071428571428571435
imitation_rl,0.005,0.00035561877667140827
imitation_rl,0.2,0.01422475106685633
