algo,seed,match_id,bot0,city_tiles0,units0,bot1,city_tiles1,units1,winner
EXP3PP,985639573,100079,imitation_dr,1,3,imitation_rl,3,3,imitation_rl
EXP3PP,551628932,100080,meta_bot,44,45,working_title,14,19,meta_bot
EXP3PP,551628932,100081,meta_bot,20,24,imitation_tb,52,56,imitation_tb
EXP3PP,551628932,100082,meta_bot,36,37,imitation_dr,23,26,meta_bot
EXP3PP,551628932,100083,meta_bot,30,36,imitation_rl,28,33,meta_bot
EXP3PP,551628932,100084,working_title,21,26,imitation_tb,67,67,imitation_tb
EXP3PP,551628932,100085,working_title,41,38,imitation_dr,30,31,working_title
EXP3PP,551628932,100086,working_title,33,31,imitation_rl,29,29,working_title
EXP3PP,551628932,100087,imitation_tb,5,10,imitation_dr,121,127,imitation_dr
EXP3PP,551628932,100088,imitation_tb,90,90,imitation_rl,31,31,imitation_tb
EXP3PP,551628932,100089,imitation_dr,81,81,imitation_rl,28,31,imitation_dr
EXP3PP,566812055,100090,meta_bot,0,0,working_title,18,18,working_title
EXP3PP,566812055,100091,meta_bot,0,1,imitation_tb,36,36,imitation_tb
EXP3PP,566812055,100092,meta_bot,6,6,imitation_dr,0,1,meta_bot
EXP3PP,566812055,100093,meta_bot,7,7,imitation_rl,18,20,imitation_rl
EXP3PP,566812055,100094,working_title,7,7,imitation_tb,18,20,imitation_tb
EXP3PP,566812055,100095,working_title,1,4,imitation_dr,2,3,imitation_dr
EXP3PP,566812055,100096,working_title,4,5,imitation_rl,0,1,working_title
EXP3PP,566812055,100097,imitation_tb,2,2,imitation_dr,5,8,imitation_dr
EXP3PP,566812055,100098,imitation_tb,10,21,imitation_rl,0,0,imitation_tb
EXP3PP,566812055,100099,imitation_dr,7,7,imitation_rl,0,4,imitation_dr
EXP3,320620221,100100,meta_bot,10,10,working_title,40,33,working_title
EXP3,320620221,100101,meta_bot,14,16,imitation_tb,68,53,imitation_tb
EXP3,320620221,100102,meta_bot,11,11,imitation_dr,31,42,imitation_dr
EXP3,320620221,100103,meta_bot,40,40,imitation_rl,40,40,tie
EXP3,320620221,100104,working_title,8,6,imitation_tb,56,53,imitation_tb
EXP3,320620221,100105,working_title,18,18,imitation_dr,64,64,imitation_dr
EXP3,320620221,100106,working_title,34,30,imitation_rl,22,24,working_title
